ID	Phenotype
14B1	5.71465728925934
14B2	6.09940030745027
14B3	6.16993372563172
14B5	5.89096713037861
14B7	4.77682587481593
15B2	6.41477034318859
15B3	6.15196552020755
15M1	5.99916280579486
16B1	5.67293283215599
16B2	5.49153422182517
16B3	4.14457062500272
16B4	6.32834915267704
16B5	4.97146605152069
16M2	6.81450107841799
16M3	7.6179350494824
16M5	6.27625774547867
16M6	5.76603972067832
16M7	6.83019899705625
16M8	5.74118369603339
3SVG	0
4rd+1	0
Alma311	0
AlmaEM3	3.84681808210271
AlmaReb2	5.85930193294029
Alpha3	0
ALS10T14	5.71494844123904
ALS10T3	0
ALS12T1	6.12206532531312
ALS14T3	0
ALS14T5	5.68456395161139
ALS17T10	5.67417499696323
ALS17T9	6.49772644560215
ALS6	5.26847573229222
Ann-1	0
B3_SN17-2_IS	5.55361180840508
BB08-1	3.55954755558043
BBI10	0
BBI64	0
BBI80	0
BH-elm	4.08813608870055
CCPM1	6.51131735870335
CFBP7969	0
CFBP7970	0
CFBP8068	0
CFBP8072	0
CFBP8073	0
CFBP8074	0
CFBP8075	0
CFBP8082	0
CFBP8083	0
CFBP8084	0
CFBP8351	3.2386311803899
CFBP8356	0
CFBP8416	0
CFBP8417	0
CFBP8418	0
CFBP8478	0
CO33	0
Conn-creek	3.91592721169712
De_Donno	0
Dixon	0
EB92-1	3.86451108105839
ESVL	0
Fetzer	4.07664044367034
Fillmore	0
GAplum	0
GILGRA274ext	0
IAS-AXF212H7	0
IAS-AXF64H11	0
IVIA5235	0
IVIA5770	1.63957400386387
IVIA5901	0
IVIA6902	0
Je1	6.49037931477839
Je103	5.35974146048697
Je118	5.05677842084502
Je13	5.82195823650599
Je17	7.17166325901322
Je35	6.40973305988772
Je4	5.07152135607525
Je43	6.44734953609967
Je51	6.71213742455308
Je60	5.20101589349045
Je63	6.92725624197302
Je73	5.29036260160391
Je78	6.64139264265414
Je92	6.58994170302236
L95-1	6.71607293653326
LA-Y3C	4.12084802050614
LLAFAL718A	0
LM10	0
M12	0
M23	5.06461158153629
MEDPRI047	0
Oak92-10	0
OC8	0
PD7202	0
R2XF4358_18	3.96353575579172
RBCF119	0
Red_Oak_2	0
RH1	0
Riv11	0
Riv13	1.52453823654539
Riv16	0
Riv19	0.501689446210399
Riv25	0
Riv5	0
Salento-1	0
Santa29b	0
SLO	7.07479887870231
SRBB	0
Temecula1	4.67742443770125
Temecula1Star	4.33324569896196
TemeculaL	5.88415112820097
UVA519_1B	0
VALVAL072Ext	0
WM1-1	6.38021124171161
XF3348	0
XF3967_18	2.67198283887127
XYL1752_17	0
XYL1961	0
XYL1966_18	0
XYL1968_18	0
XYL1981_17	0
XYL1981_18	0
XYL2014_18	4.03239426693836
XYL2017_18	4.11760349185753
XYL2055_17	2.87983752735823
XYL2093_18	2.74781857187384
XYL2153_18	2.78416423416617
XYL461	2.573239481762
XYL466_19	0
XYL468	0
